Materia Prima,Descricao,Quantidade,Valor unitario,Valor total
AGUARRAS,Lata de 500ml,3,R$ 11.10,R$ 33.30
Esmalte Brilhante Preto,Lata de 3.6 litros,1,R$ 108.89,R$ 108.89
LACA TOPCOAT,LATA DE 1L,3,R$ 163.20,R$ 489.60
REMOVEDOR PASTOSO,LATA COM 900ML,1,R$ 30.00,R$ 30.00
TINTA DIG SOLV ECO BEST LD - BLACK - 500ML,,15,R$ 65.00,R$ 975.00
TINTA DIG SOLV ECO BEST LD - CYAN - 500ML,,15,R$ 65.00,R$ 975.00
TINTA DIG SOLV ECO BEST LD - MAGENTA - 500ML,,15,R$ 65.00,R$ 975.00
TINTA DIG SOLV ECO BEST LD - YELLOW - 500ML,,15,R$ 65.00,R$ 975.00
TINTA PARA POLAR ESD BLACK 500ML,,1000,R$ 0.40,R$ 400.00
TINTA PARA POLAR ESD CYAN 500ML,,1000,R$ 0.40,R$ 400.00
TINTA PARA POLAR ESD MAGENTA 500ML,,2500,R$ 0.40,R$ 1.000.00
TINTA PARA POLAR ESD YELLOW 500ML,,3000,R$ 0.40,R$ 1.200.00
TINTA PU AMARELO 10YRB/14,TINTA PARA BOTIJA DE GAS DO CARRO COD 1400085233 LATA DE 900ML,1,R$ 82.78,R$ 82.78
TINTA PU BRANCO GEADA,LATA DE 900ML,1,R$ 67.00,R$ 67.00
Tinta Spray Branco Acabamento,Lata de 300ml,2,R$ 20.00,R$ 40.00
Tinta Spray Metalica Dourada,Lata Spray,1,R$ 25.00,R$ 25.00
TINTA VERDE BANDEIRA PU,CUSTO POR ML,450,R$ 0.15,R$ 67.50
